"Round","Home","Away","Venue"
"Round 6","GWS GIANTS","Brisbane Lions","Corroboree Group Oval Manuka"
"Round 6","Geelong Cats","Sydney Swans","GMHBA Stadium"
"Round 6","Hawthorn","Kuwarna","UTAS Stadium"
"Round 6","Carlton","Euro-Yroke","Marvel Stadium"
"Round 6","Gold Coast SUNS","North Melbourne","People First Stadium"
"Round 6","Narrm","Richmond","MCG"
"Round 6","Collingwood","Essendon","MCG"
"Round 7","Euro-Yroke","Yartapuulti","Marvel Stadium"
"Round 7","Brisbane Lions","Walyalup","Gabba"
"Round 7","Sydney Swans","GWS GIANTS","SCG"
"Round 7","Western Bulldogs","Hawthorn","Marvel Stadium"
"Round 7","Narrm","North Melbourne","MCG"
"Round 7","Waalitj Marawar","Carlton","Optus Stadium"
"Round 7","Essendon","Geelong Cats","MCG"
"Round 7","Richmond","Gold Coast SUNS","Marvel Stadium"
"Round 7","Kuwarna","Collingwood","Adelaide Oval"
"Round 8","Carlton","Brisbane Lions","Marvel Stadium"
"Round 8","Richmond","Waalitj Marawar","MCG"
"Round 8","Geelong Cats","Kuwarna","GMHBA Stadium"
"Round 8","Gold Coast SUNS","Narrm","People First Stadium"
"Round 8","GWS GIANTS","Western Bulldogs","Corroboree Group Oval Manuka"
"Round 8","Walyalup","Hawthorn","Optus Stadium"
"Round 8","Yartapuulti","Essendon","Adelaide Oval"
"Round 8","Collingwood","Sydney Swans","MCG"
"Round 8","North Melbourne","Euro-Yroke","Marvel Stadium"
"Round 9","Richmond","Geelong Cats","MCG"
"Round 9","Waalitj Marawar","Gold Coast SUNS","Optus Stadium"
"Round 9","Sydney Swans","Walyalup","SCG"
"Round 9","North Melbourne","Yartapuulti","Ninja Stadium"
"Round 9","Hawthorn","Narrm","MCG"
"Round 9","Brisbane Lions","Essendon","Gabba"
"Round 9","Carlton","Western Bulldogs","Marvel Stadium"
"Round 9","Kuwarna","Euro-Yroke","Adelaide Oval"
"Round 9","Collingwood","GWS GIANTS","MCG"
"Round 10","Yartapuulti","Narrm","Adelaide Oval"
"Round 10","North Melbourne","Sydney Swans","Marvel Stadium"
"Round 10","Western Bulldogs","Kuwarna","Mars Stadium"
"Round 10","Walyalup","Geelong Cats","Optus Stadium"
"Round 10","Brisbane Lions","Gold Coast SUNS","Gabba"
"Round 10","Essendon","Richmond","MCG"
"Round 10","Hawthorn","Waalitj Marawar","UTAS Stadium"
"Round 10","Carlton","Collingwood","MCG"
"Round 10","GWS GIANTS","Euro-Yroke","ENGIE Stadium"
"Round 11","Sydney Swans","Carlton","SCG"
"Round 11","Euro-Yroke","Hawthorn","Marvel Stadium"
"Round 11","Narrm","Walyalup","MCG"
"Round 11","Geelong Cats","GWS GIANTS","GMHBA Stadium"
"Round 11","Gold Coast SUNS","Western Bulldogs","TIO Stadium"
"Round 11","Waalitj Marawar","Essendon","Optus Stadium"
"Round 11","Richmond","Yartapuulti","MCG"
"Round 11","Collingwood","North Melbourne","Marvel Stadium"
"Round 11","Kuwarna","Brisbane Lions","Adelaide Oval"
"Round 12","Narrm","Carlton","MCG"
"Round 12","Yartapuulti","Hawthorn","Adelaide Oval"
"Round 12","Waalitj Marawar","Collingwood","Optus Stadium"
"Round 12","Western Bulldogs","Geelong Cats","Marvel Stadium"
"Round 12","Gold Coast SUNS","Kuwarna","TIO Stadium"
"Round 12","GWS GIANTS","Richmond","ENGIE Stadium"
"Round 12","Essendon","North Melbourne","Marvel Stadium"
"Round 13","Sydney Swans","Euro-Yroke","SCG"
"Round 13","Western Bulldogs","Yartapuulti","Marvel Stadium"
"Round 13","Hawthorn","Brisbane Lions","MCG"
"Round 13","Kuwarna","Waalitj Marawar","Adelaide Oval"
"Round 13","Walyalup","Richmond","Optus Stadium"
"Round 13","North Melbourne","GWS GIANTS","Ninja Stadium"
"Round 13","Carlton","Essendon","MCG"
"Round 13","Narrm","Collingwood","MCG"
"Round 14","Yartapuulti","Geelong Cats","Adelaide Oval"
"Round 14","Brisbane Lions","Sydney Swans","Gabba"
"Round 14","GWS GIANTS","Walyalup","ENGIE Stadium"
"Round 14","Richmond","Euro-Yroke","MCG"
"Round 14","Carlton","Gold Coast SUNS","MCG"
"Round 14","North Melbourne","Western Bulldogs","Marvel Stadium"
"Round 15","Geelong Cats","Narrm","GMHBA Stadium"
"Round 15","Euro-Yroke","Brisbane Lions","Marvel Stadium"
"Round 15","Sydney Swans","Waalitj Marawar","SCG"
"Round 15","Walyalup","Essendon","Optus Stadium"
"Round 15","Collingwood","Kuwarna","MCG"
"Round 15","Gold Coast SUNS","Hawthorn","People First Stadium"
"Round 16","Brisbane Lions","Richmond","Gabba"
"Round 16","Sydney Swans","Geelong Cats","SCG"
"Round 16","Kuwarna","North Melbourne","Adelaide Oval"
"Round 16","Western Bulldogs","Walyalup","Marvel Stadium"
"Round 16","Gold Coast SUNS","Collingwood","People First Stadium"
"Round 16","Essendon","Yartapuulti","MCG"
"Round 16","Hawthorn","Carlton","MCG"
"Round 16","Narrm","GWS GIANTS","TIO Traeger Park"
"Round 16","Waalitj Marawar","Euro-Yroke","Optus Stadium"
"Round 17","Richmond","Sydney Swans","MCG"
"Round 17","Western Bulldogs","Collingwood","Marvel Stadium"
"Round 17","Brisbane Lions","Waalitj Marawar","Gabba"
"Round 17","GWS GIANTS","Hawthorn","ENGIE Stadium"
"Round 17","Euro-Yroke","Narrm","Marvel Stadium"
"Round 17","Yartapuulti","Gold Coast SUNS","Adelaide Oval"
"Round 17","Geelong Cats","North Melbourne","GMHBA Stadium"
"Round 17","Essendon","Kuwarna","Marvel Stadium"
"Round 17","Walyalup","Carlton","Optus Stadium"
"Round 18","Sydney Swans","Western Bulldogs","SCG"
"Round 18","Narrm","Brisbane Lions","MCG"
"Round 18","Collingwood","Walyalup","MCG"
"Round 18","Gold Coast SUNS","Euro-Yroke","People First Stadium"
"Round 18","Carlton","Yartapuulti","Marvel Stadium"
"Round 18","Geelong Cats","Essendon","GMHBA Stadium"
"Round 18","Kuwarna","GWS GIANTS","Adelaide Oval"
"Round 18","North Melbourne","Hawthorn","Marvel Stadium"
"Round 18","Waalitj Marawar","Richmond","Optus Stadium"
"Round 19","Essendon","Western Bulldogs","Marvel Stadium"
"Round 19","Richmond","Hawthorn","MCG"
"Round 19","Carlton","Waalitj Marawar","Marvel Stadium"
"Round 19","Brisbane Lions","Geelong Cats","Gabba"
"Round 19","Walyalup","Sydney Swans","Optus Stadium"
"Round 19","Yartapuulti","Collingwood","Adelaide Oval"
"Round 19","GWS GIANTS","Gold Coast SUNS","Corroboree Group Oval Manuka"
"Round 19","Narrm","Kuwarna","MCG"
"Round 19","Euro-Yroke","North Melbourne","Marvel Stadium"
"Round 20","Collingwood","Carlton","MCG"
"Round 20","Geelong Cats","Walyalup","GMHBA Stadium"
"Round 20","Western Bulldogs","GWS GIANTS","Mars Stadium"
"Round 20","Gold Coast SUNS","Brisbane Lions","People First Stadium"
"Round 20","Essendon","Sydney Swans","Marvel Stadium"
"Round 20","Kuwarna","Yartapuulti","Adelaide Oval"
"Round 20","Hawthorn","Euro-Yroke","Marvel Stadium"
"Round 20","Richmond","Narrm","MCG"
"Round 20","Waalitj Marawar","North Melbourne","Optus Stadium"
"Round 21","Western Bulldogs","Richmond","Marvel Stadium"
"Round 21","Essendon","Waalitj Marawar","Marvel Stadium"
"Round 21","Kuwarna","Gold Coast SUNS","Adelaide Oval"
"Round 21","Hawthorn","Collingwood","MCG"
"Round 21","Geelong Cats","Yartapuulti","GMHBA Stadium"
"Round 21","GWS GIANTS","Sydney Swans","ENGIE Stadium"
"Round 21","North Melbourne","Narrm","Ninja Stadium"
"Round 21","Euro-Yroke","Carlton","Marvel Stadium"
"Round 21","Walyalup","Brisbane Lions","Optus Stadium"
"Round 22","Collingwood","Geelong Cats","MCG"
"Round 22","North Melbourne","Essendon","Marvel Stadium"
"Round 22","Sydney Swans","Gold Coast SUNS","SCG"
"Round 22","Brisbane Lions","Kuwarna","Gabba"
"Round 22","Carlton","Narrm","MCG"
"Round 22","Waalitj Marawar","Walyalup","Optus Stadium"
"Round 22","Hawthorn","Western Bulldogs","UTAS Stadium"
"Round 22","Euro-Yroke","Richmond","Marvel Stadium"
"Round 22","Yartapuulti","GWS GIANTS","Adelaide Oval"
"Round 23","Collingwood","Brisbane Lions","Marvel Stadium"
"Round 23","Richmond","North Melbourne","MCG"
"Round 23","Gold Coast SUNS","Carlton","People First Stadium"
"Round 23","GWS GIANTS","Essendon","ENGIE Stadium"
"Round 23","Euro-Yroke","Geelong Cats","Marvel Stadium"
"Round 23","Kuwarna","Sydney Swans","Adelaide Oval"
"Round 23","Western Bulldogs","Waalitj Marawar","Marvel Stadium"
"Round 23","Narrm","Hawthorn","MCG"
"Round 23","Walyalup","Yartapuulti","Optus Stadium"
"Round 24","Essendon","Collingwood","MCG"
"Round 24","Hawthorn","Walyalup","MCG"
"Round 24","North Melbourne","Gold Coast SUNS","Ninja Stadium"
"Round 24","Brisbane Lions","Euro-Yroke","Gabba"
"Round 24","Geelong Cats","Western Bulldogs","GMHBA Stadium"
"Round 24","Waalitj Marawar","Kuwarna","Optus Stadium"
"Round 24","Yartapuulti","Richmond","Adelaide Oval"
"Round 24","Sydney Swans","Narrm","SCG"
"Round 24","Carlton","GWS GIANTS","Marvel Stadium"
"Finals Week 1","Collingwood","Narrm","MCG"
"Finals Week 1","Carlton","Sydney Swans","MCG"
"Finals Week 1","Euro-Yroke","GWS GIANTS","MCG"
"Finals Week 1","Brisbane Lions","Yartapuulti","Gabba"
"Semi Finals","Narrm","Carlton","MCG"
"Semi Finals","Yartapuulti","GWS GIANTS","Adelaide Oval"
"Preliminary Finals","Collingwood","GWS GIANTS","MCG"
"Preliminary Finals","Brisbane Lions","Carlton","Gabba"
"Grand Final","Collingwood","Brisbane Lions","MCG"
