"Round","Home","Away","Venue"
"Round 13","Collingwood","Narrm","MCG"
"Round 14","Brisbane Lions","Euro-Yroke","Gabba"
"Round 14","Western Bulldogs","Walyalup","Marvel Stadium"
"Round 14","Richmond","Hawthorn","MCG"
"Round 14","Kuwarna","Sydney Swans","Adelaide Oval"
"Round 14","North Melbourne","Collingwood","Marvel Stadium"
"Round 14","GWS GIANTS","Yartapuulti","ENGIE Stadium"
"Round 15","Carlton","Geelong Cats","MCG"
"Round 15","Yartapuulti","Brisbane Lions","Adelaide Oval"
"Round 15","GWS GIANTS","Sydney Swans","ENGIE Stadium"
"Round 15","Narrm","North Melbourne","MCG"
"Round 15","Essendon","Waalitj Marawar","Marvel Stadium"
"Round 15","Walyalup","Gold Coast SUNS","Optus Stadium"
"Round 16","Brisbane Lions","Narrm","Gabba"
"Round 16","North Melbourne","Western Bulldogs","Marvel Stadium"
"Round 16","Sydney Swans","Walyalup","SCG"
"Round 16","Gold Coast SUNS","Collingwood","People First Stadium"
"Round 16","Kuwarna","GWS GIANTS","Adelaide Oval"
"Round 16","Geelong Cats","Essendon","MCG"
"Round 16","Euro-Yroke","Yartapuulti","Marvel Stadium"
"Round 16","Richmond","Carlton","MCG"
"Round 16","Waalitj Marawar","Hawthorn","Optus Stadium"
"Round 17","Collingwood","Essendon","MCG"
"Round 17","North Melbourne","Gold Coast SUNS","Marvel Stadium"
"Round 17","Yartapuulti","Western Bulldogs","Adelaide Oval"
"Round 17","Geelong Cats","Hawthorn","GMHBA Stadium"
"Round 17","GWS GIANTS","Carlton","ENGIE Stadium"
"Round 17","Walyalup","Richmond","Optus Stadium"
"Round 17","Narrm","Waalitj Marawar","MCG"
"Round 17","Euro-Yroke","Sydney Swans","Marvel Stadium"
"Round 17","Brisbane Lions","Kuwarna","Gabba"
"Round 18","Collingwood","Geelong Cats","MCG"
"Round 18","Hawthorn","Walyalup","UTAS Stadium"
"Round 18","Sydney Swans","North Melbourne","SCG"
"Round 18","Western Bulldogs","Carlton","Marvel Stadium"
"Round 18","Kuwarna","Euro-Yroke","Adelaide Oval"
"Round 18","Narrm","Essendon","MCG"
"Round 18","Gold Coast SUNS","Yartapuulti","People First Stadium"
"Round 18","Richmond","GWS GIANTS","MCG"
"Round 18","Waalitj Marawar","Brisbane Lions","Optus Stadium"
"Round 19","Essendon","Kuwarna","Marvel Stadium"
"Round 19","GWS GIANTS","Gold Coast SUNS","ENGIE Stadium"
"Round 19","Euro-Yroke","Waalitj Marawar","Marvel Stadium"
"Round 19","Hawthorn","Collingwood","MCG"
"Round 19","Geelong Cats","Western Bulldogs","GMHBA Stadium"
"Round 19","Yartapuulti","Richmond","Adelaide Oval"
"Round 19","Brisbane Lions","Sydney Swans","Gabba"
"Round 19","Walyalup","Narrm","Optus Stadium"
"Round 19","Carlton","North Melbourne","Marvel Stadium"
"Round 20","Carlton","Yartapuulti","Marvel Stadium"
"Round 20","North Melbourne","Geelong Cats","Ninja Stadium"
"Round 20","Gold Coast SUNS","Brisbane Lions","People First Stadium"
"Round 20","Euro-Yroke","Essendon","Marvel Stadium"
"Round 20","Narrm","GWS GIANTS","MCG"
"Round 20","Walyalup","Waalitj Marawar","Optus Stadium"
"Round 20","Collingwood","Richmond","MCG"
"Round 20","Sydney Swans","Western Bulldogs","SCG"
"Round 20","Kuwarna","Hawthorn","Adelaide Oval"
"Round 21","Western Bulldogs","Narrm","Marvel Stadium"
"Round 21","Waalitj Marawar","Gold Coast SUNS","Optus Stadium"
"Round 21","North Melbourne","Richmond","Marvel Stadium"
"Round 21","Geelong Cats","Kuwarna","GMHBA Stadium"
"Round 21","Collingwood","Carlton","MCG"
"Round 21","Yartapuulti","Sydney Swans","Adelaide Oval"
"Round 21","GWS GIANTS","Hawthorn","Corroboree Group Oval Manuka"
"Round 21","Essendon","Walyalup","MCG"
"Round 21","Euro-Yroke","Brisbane Lions","Marvel Stadium"
"Round 22","Sydney Swans","Collingwood","SCG"
"Round 22","Brisbane Lions","GWS GIANTS","Gabba"
"Round 22","North Melbourne","Waalitj Marawar","Ninja Stadium"
"Round 22","Walyalup","Geelong Cats","Optus Stadium"
"Round 22","Essendon","Gold Coast SUNS","Marvel Stadium"
"Round 22","Narrm","Yartapuulti","MCG"
"Round 22","Carlton","Hawthorn","MCG"
"Round 22","Richmond","Euro-Yroke","Marvel Stadium"
"Round 22","Kuwarna","Western Bulldogs","Adelaide Oval"
"Round 23","Essendon","Sydney Swans","Marvel Stadium"
"Round 23","Gold Coast SUNS","Narrm","People First Stadium"
"Round 23","GWS GIANTS","Walyalup","ENGIE Stadium"
"Round 23","Collingwood","Brisbane Lions","MCG"
"Round 23","Yartapuulti","Kuwarna","Adelaide Oval"
"Round 23","Euro-Yroke","Geelong Cats","Marvel Stadium"
"Round 23","Western Bulldogs","North Melbourne","Marvel Stadium"
"Round 23","Hawthorn","Richmond","MCG"
"Round 23","Waalitj Marawar","Carlton","Optus Stadium"
"Round 24","Narrm","Collingwood","MCG"
"Round 24","Hawthorn","North Melbourne","UTAS Stadium"
"Round 24","Geelong Cats","Waalitj Marawar","GMHBA Stadium"
"Round 24","Richmond","Gold Coast SUNS","MCG"
"Round 24","Brisbane Lions","Essendon","Gabba"
"Round 24","Sydney Swans","Kuwarna","SCG"
"Round 24","Western Bulldogs","GWS GIANTS","Mars Stadium"
"Round 24","Carlton","Euro-Yroke","Marvel Stadium"
"Round 24","Walyalup","Yartapuulti","Optus Stadium"
"Finals Week 1","Yartapuulti","Geelong Cats","Adelaide Oval"
"Finals Week 1","Western Bulldogs","Hawthorn","MCG"
"Finals Week 1","Sydney Swans","GWS GIANTS","SCG"
"Finals Week 1","Brisbane Lions","Carlton","Gabba"
"Semi Finals","Yartapuulti","Hawthorn","Adelaide Oval"
"Semi Finals","GWS GIANTS","Brisbane Lions","ENGIE Stadium"
"Preliminary Finals","Sydney Swans","Yartapuulti","SCG"
"Preliminary Finals","Geelong Cats","Brisbane Lions","MCG"
"Grand Final","Sydney Swans","Brisbane Lions","MCG"
