"Round","Home","Away","Venue"
"Round 6","Essendon","Collingwood","MCG"
"Round 7","Waalitj Marawar","Richmond","Optus Stadium"
"Round 7","Geelong Cats","Walyalup","GMHBA Stadium"
"Round 7","Kuwarna","GWS GIANTS","Adelaide Oval"
"Round 7","Narrm","Hawthorn","MCG"
"Round 7","Euro-Yroke","Yartapuulti","Cazalys Stadium"
"Round 7","Carlton","North Melbourne","Marvel Stadium"
"Round 7","Collingwood","Gold Coast SUNS","MCG"
"Round 7","Western Bulldogs","Essendon","Marvel Stadium"
"Round 7","Sydney Swans","Brisbane Lions","SCG"
"Round 8","Yartapuulti","Western Bulldogs","Adelaide Oval"
"Round 8","Walyalup","North Melbourne","Optus Stadium"
"Round 8","Richmond","Collingwood","MCG"
"Round 8","Sydney Swans","Gold Coast SUNS","SCG"
"Round 8","GWS GIANTS","Geelong Cats","Corroboree Group Oval Manuka"
"Round 8","Essendon","Hawthorn","Marvel Stadium"
"Round 8","Brisbane Lions","Waalitj Marawar","Gabba"
"Round 8","Narrm","Euro-Yroke","MCG"
"Round 8","Carlton","Kuwarna","Marvel Stadium"
"Round 9","Collingwood","Western Bulldogs","Marvel Stadium"
"Round 9","Hawthorn","Richmond","MCG"
"Round 9","North Melbourne","Yartapuulti","Ninja Stadium"
"Round 9","Euro-Yroke","Geelong Cats","Marvel Stadium"
"Round 9","Sydney Swans","Essendon","SCG"
"Round 9","Kuwarna","Brisbane Lions","Adelaide Oval"
"Round 9","Gold Coast SUNS","Walyalup","People First Stadium"
"Round 9","GWS GIANTS","Carlton","ENGIE Stadium"
"Round 9","Waalitj Marawar","Narrm","Optus Stadium"
"Round 10","Carlton","Sydney Swans","Marvel Stadium"
"Round 10","Geelong Cats","Yartapuulti","GMHBA Stadium"
"Round 10","Western Bulldogs","Gold Coast SUNS","Mars Stadium"
"Round 10","North Melbourne","Narrm","Marvel Stadium"
"Round 10","Kuwarna","Euro-Yroke","Adelaide Oval"
"Round 10","Richmond","Essendon","MCG"
"Round 10","GWS GIANTS","Waalitj Marawar","ENGIE Stadium"
"Round 10","Hawthorn","Brisbane Lions","UTAS Stadium"
"Round 10","Walyalup","Collingwood","Optus Stadium"
"Round 11","Sydney Swans","Richmond","SCG"
"Round 11","Brisbane Lions","GWS GIANTS","Gabba"
"Round 11","Geelong Cats","Kuwarna","GMHBA Stadium"
"Round 11","Narrm","Walyalup","MCG"
"Round 11","Waalitj Marawar","Western Bulldogs","Optus Stadium"
"Round 11","Gold Coast SUNS","Hawthorn","TIO Stadium"
"Round 11","Euro-Yroke","North Melbourne","Marvel Stadium"
"Round 11","Collingwood","Carlton","MCG"
"Round 11","Yartapuulti","Essendon","Adelaide Oval"
"Round 12","Western Bulldogs","Geelong Cats","Marvel Stadium"
"Round 12","Kuwarna","Waalitj Marawar","Adelaide Oval"
"Round 12","Gold Coast SUNS","North Melbourne","TIO Stadium"
"Round 12","Narrm","Sydney Swans","MCG"
"Round 12","Hawthorn","Collingwood","MCG"
"Round 12","Walyalup","Brisbane Lions","Optus Stadium"
"Round 13","Richmond","Yartapuulti","MCG"
"Round 13","Essendon","Carlton","MCG"
"Round 13","Walyalup","Hawthorn","Optus Stadium"
"Round 13","Brisbane Lions","Euro-Yroke","Gabba"
"Round 13","North Melbourne","GWS GIANTS","Marvel Stadium"
"Round 13","Collingwood","Narrm","MCG"
"Round 14","Richmond","Carlton","MCG"
"Round 14","Euro-Yroke","Essendon","Marvel Stadium"
"Round 14","Yartapuulti","Sydney Swans","Adelaide Oval"
"Round 14","Waalitj Marawar","Geelong Cats","Optus Stadium"
"Round 14","GWS GIANTS","Western Bulldogs","ENGIE Stadium"
"Round 14","Gold Coast SUNS","Kuwarna","People First Stadium"
"Round 15","Narrm","Brisbane Lions","MCG"
"Round 15","Western Bulldogs","Hawthorn","Marvel Stadium"
"Round 15","Waalitj Marawar","Essendon","Optus Stadium"
"Round 15","Carlton","Walyalup","Marvel Stadium"
"Round 15","Geelong Cats","Richmond","MCG"
"Round 15","Sydney Swans","Euro-Yroke","SCG"
"Round 15","North Melbourne","Kuwarna","Ninja Stadium"
"Round 15","Collingwood","GWS GIANTS","MCG"
"Round 15","Yartapuulti","Gold Coast SUNS","Adelaide Oval"
"Round 16","Brisbane Lions","Western Bulldogs","Gabba"
"Round 16","Carlton","Euro-Yroke","Marvel Stadium"
"Round 16","Essendon","Sydney Swans","MCG"
"Round 16","Kuwarna","Narrm","Adelaide Oval"
"Round 16","Geelong Cats","North Melbourne","GMHBA Stadium"
"Round 16","Gold Coast SUNS","Collingwood","People First Stadium"
"Round 16","Richmond","Waalitj Marawar","MCG"
"Round 16","GWS GIANTS","Hawthorn","ENGIE Stadium"
"Round 16","Walyalup","Yartapuulti","Optus Stadium"
"Round 17","Geelong Cats","Narrm","GMHBA Stadium"
"Round 17","Sydney Swans","Western Bulldogs","SCG"
"Round 17","Collingwood","North Melbourne","MCG"
"Round 17","Gold Coast SUNS","Richmond","People First Stadium"
"Round 17","Euro-Yroke","Walyalup","Marvel Stadium"
"Round 17","Yartapuulti","GWS GIANTS","Adelaide Oval"
"Round 17","Brisbane Lions","Essendon","Gabba"
"Round 17","Hawthorn","Kuwarna","Marvel Stadium"
"Round 17","Waalitj Marawar","Carlton","Optus Stadium"
"Round 18","Western Bulldogs","Euro-Yroke","Marvel Stadium"
"Round 18","Kuwarna","Collingwood","Adelaide Oval"
"Round 18","GWS GIANTS","Brisbane Lions","Corroboree Group Oval Manuka"
"Round 18","North Melbourne","Richmond","Marvel Stadium"
"Round 18","Carlton","Geelong Cats","MCG"
"Round 18","Walyalup","Sydney Swans","Optus Stadium"
"Round 18","Hawthorn","Waalitj Marawar","MCG"
"Round 18","Narrm","Yartapuulti","TIO Traeger Park"
"Round 18","Essendon","Gold Coast SUNS","Marvel Stadium"
"Round 19","Richmond","Walyalup","Marvel Stadium"
"Round 19","North Melbourne","Hawthorn","Ninja Stadium"
"Round 19","Sydney Swans","Kuwarna","SCG"
"Round 19","Yartapuulti","Geelong Cats","Adelaide Oval"
"Round 19","Brisbane Lions","Gold Coast SUNS","Gabba"
"Round 19","Western Bulldogs","Narrm","Marvel Stadium"
"Round 19","Carlton","GWS GIANTS","Marvel Stadium"
"Round 19","Collingwood","Essendon","MCG"
"Round 19","Waalitj Marawar","Euro-Yroke","Optus Stadium"
"Round 20","Walyalup","Narrm","Optus Stadium"
"Round 20","Collingwood","Yartapuulti","MCG"
"Round 20","Sydney Swans","GWS GIANTS","SCG"
"Round 20","Euro-Yroke","Hawthorn","Marvel Stadium"
"Round 20","Geelong Cats","Western Bulldogs","GMHBA Stadium"
"Round 20","Kuwarna","Carlton","Adelaide Oval"
"Round 20","Gold Coast SUNS","Waalitj Marawar","People First Stadium"
"Round 20","Richmond","Brisbane Lions","MCG"
"Round 20","Essendon","North Melbourne","Marvel Stadium"
"Round 21","Narrm","Collingwood","MCG"
"Round 21","Hawthorn","Gold Coast SUNS","UTAS Stadium"
"Round 21","GWS GIANTS","Essendon","ENGIE Stadium"
"Round 21","Western Bulldogs","Walyalup","Marvel Stadium"
"Round 21","Geelong Cats","Euro-Yroke","GMHBA Stadium"
"Round 21","Yartapuulti","Richmond","Adelaide Oval"
"Round 21","North Melbourne","Sydney Swans","Marvel Stadium"
"Round 21","Brisbane Lions","Carlton","Gabba"
"Round 21","Waalitj Marawar","Kuwarna","Optus Stadium"
"Round 22","Euro-Yroke","Brisbane Lions","Marvel Stadium"
"Round 22","Western Bulldogs","GWS GIANTS","Marvel Stadium"
"Round 22","Kuwarna","North Melbourne","Adelaide Oval"
"Round 22","Gold Coast SUNS","Geelong Cats","People First Stadium"
"Round 22","Narrm","Carlton","MCG"
"Round 22","Walyalup","Waalitj Marawar","Optus Stadium"
"Round 22","Richmond","Hawthorn","MCG"
"Round 22","Sydney Swans","Collingwood","SCG"
"Round 22","Essendon","Yartapuulti","Marvel Stadium"
"Round 23","Brisbane Lions","Narrm","Gabba"
"Round 23","GWS GIANTS","Walyalup","Corroboree Group Oval Manuka"
"Round 23","North Melbourne","Gold Coast SUNS","Marvel Stadium"
"Round 23","Geelong Cats","Waalitj Marawar","GMHBA Stadium"
"Round 23","Essendon","Richmond","MCG"
"Round 23","Yartapuulti","Kuwarna","Adelaide Oval"
"Round 23","Hawthorn","Western Bulldogs","UTAS Stadium"
"Round 23","Carlton","Collingwood","MCG"
"Round 23","Euro-Yroke","Sydney Swans","Marvel Stadium"
"Finals Week 1","Brisbane Lions","Richmond","Gabba"
"Finals Week 1","Narrm","Sydney Swans","MCG"
"Finals Week 1","Geelong Cats","Collingwood","MCG"
"Finals Week 1","Walyalup","Western Bulldogs","Optus Stadium"
"Semi Finals","Narrm","Brisbane Lions","MCG"
"Semi Finals","Collingwood","Walyalup","MCG"
"Preliminary Finals","Geelong Cats","Brisbane Lions","MCG"
"Preliminary Finals","Sydney Swans","Collingwood","SCG"
"Grand Final","Geelong Cats","Sydney Swans","MCG"
